filename^document_name^parties^agreement_date^effective_date^expiration_date^renewal_term^notice_period^governing_law^non_compete^exclusivity
1^MARKETING AFFILIATE AGREEMENT^SEATTLE SOFTWARE DEVELOPERS, Inc. ('Developer'); PELICAN DELIVERS INC. ('Client')^5/8/14^^12/31/14^successive 1 year^30 days^Nevada^No^No
2^VIDEO-ON-DEMAND CONTENT LICENSE AGREEMENT^Rogers Cable Communications Inc. ('Rogers'); EuroMedia Holdings Corp. ('Licensor')^7/11/06^7/11/06^6/30/10^2 years^60 days^Ontario, Canada^No^No
3^CONTENT DISTRIBUTION AND LICENSE AGREEMENT^CONVERGTV INC. ('Distributor'); Fulucai Productions Ltd. ('Producer')^11/15/12^11/15/12^^perpetual, 11/15/2014^^Florida^No^Yes
4^WEBSITE CONTENT LICENSE AGREEMENT^PSiTech Corporation ('Licensor'); Empirical Ventures, Inc ('Licensee')^2/10/14^2/10/14^2/10/19^3 years^90 days^Nevada^No^Yes
5^CONTENT LICENSE AGREEMENT^SEATTLE SOFTWARE DEVELOPERS, Inc. ('Developer'); PELICAN DELIVERS INC. ('Client')^12/21/15^12/21/15^12/21/35^4 weeks^^New York^No^No
6^Rental Agreement^SEATTLE SOFTWARE DEVELOPERS, Inc. ('Developer'); PELICAN DELIVERS INC. ('Client')^10/1/99^10/1/99^10/1/02^3 years^3 weeks^New York^No^No
7^CO-BRANDING AGREEMENT^WOMEN.COM NETWORKS, INC. ('Women.com'); EDIETS.COM, INC. ('eDiets')^5/22/00^5/22/00^5/22/02^successive 1 year^60 days^California^Yes^Yes
8^PRODUCT DEVELOPMENT AND CO-BRANDING AGREEMENT^INTEGRITY INCORPORATED ('Integrity'); TIME LIFE, INC. d/b/a Time Life Music ('TL')^1/10/00^^12/31/04^^^Tennessee^No^Yes
9^ENDORSEMENT LICENSING AND CO-BRANDING AGREEMENT^Marine MP, LLC ('Lender'); Arnald Weissenegger ('Endorser'); Fitness Publications, Inc. ('Fitness)^7/26/13^7/26/13^7/22/16^7/22/19; 7/22/22^120 days^California^Yes^Yes
10^Rental Agreement^SEATTLE SOFTWARE DEVELOPERS, Inc. ('Developer'); PELICAN DELIVERS INC. ('Client')^8/22/05^8/22/05^8/22/10^3 years^60 days^England, United Kingdom; Wales, United Kingdom^Yes^No
11^DEVELOPMENT AGREEMENT^SEATTLE SOFTWARE DEVELOPERS, Inc. ('Developer'); PELICAN DELIVERS INC. ('Client')^9/30/19^9/30/19^^successive 1 year^30 days^New York^No^Yes
12^EXCLUSIVE LICENSE AND PRODUCT DEVELOPMENT AGREEMENT^Eton Pharmaceuticals, Inc. ('ETON'); Aucta Pharmaceuticals, Inc.('Aucta')^6/12/19^9/2/19^perpetual^2 years^30 days^Delaware^Yes^Yes
13^JOINT DEVELOPMENT AGREEMENT^ExxonMobil Research and Engineering Company ('ExxonMobil'); FuelCell Energy, Inc. ('FCE')^11/5/19^10/31/19^10/31/21^12 months^30 days^New York^Yes^No
14^RECIPE DEVELOPMENT AGREEMENT^SEATTLE SOFTWARE DEVELOPERS, Inc. ('Developer'); PELICAN DELIVERS INC. ('Client')^10/11/19^10/11/19^^1 year^60 days^New York^No^Yes
15^Distributorship agreement^SEATTLE SOFTWARE DEVELOPERS, Inc. ('Developer'); PELICAN DELIVERS INC. ('Client')^3/29/18^^3/29/19^perpetual^6 months^Ohio^Yes^No
